Band_ID,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
78492,0,0,0,U,0,0,0,0,0,0,0
78523,0,U,0,0,0,0,0,0,0,0,0
78524,0,0,0,U,U,0,0,C,0,0,U
78529,0,0,U,0,0,0,0,0,0,0,0
78701,0,C,0,U,0,U,0,U,0,0,0
78702,0,U,0,0,U,0,0,0,0,0,0
78704,0,0,C,0,0,0,0,0,0,0,0
78705,0,C,0,0,0,0,0,0,0,0,0
78707,0,I,0,0,0,U,U,0,0,0,0
78712,0,C,0,U,0,0,U,0,0,C,C
78713,0,C,U,U,U,U,C,C,0,0,0
78714,0,U,0,0,0,0,0,0,0,0,0
78715,0,0,C,0,0,U,0,0,0,I,0
78716,0,0,C,U,0,0,U,U,0,I,0
78717,0,0,U,C,0,C,0,C,0,0,0
78718,0,0,U,U,U,U,0,0,0,0,0
78719,0,0,I,0,0,0,0,0,0,0,0
78720,0,0,C,0,U,U,0,U,U,0,U
78721,0,C,U,I,0,I,U,I,U,I,0
78722,0,C,0,0,0,0,0,0,0,0,0
78724,0,C,0,0,0,0,0,0,0,0,0
78725,0,C,0,0,0,0,0,0,0,C,C
78726,0,C,0,0,0,0,0,0,0,0,0
78727,0,C,U,U,0,0,0,0,0,0,0
78728,0,C,U,0,I,0,U,I,0,0,0
78729,0,C,U,U,C,0,U,0,0,0,0
78730,0,C,U,U,U,U,C,C,U,0,0
78741,0,U,0,0,0,0,0,0,0,0,0
78742,0,C,0,0,0,0,0,0,0,0,0
78743,0,U,0,0,0,0,0,0,0,0,0
78751,0,0,C,0,0,C,0,0,0,0,0
78752,0,0,U,U,U,0,0,0,0,0,0
78753,0,0,C,0,U,0,0,0,0,0,0
78754,0,0,C,U,U,U,0,U,0,0,U
78755,0,0,U,U,0,0,0,0,0,0,0
78756,0,0,C,0,0,U,0,0,U,U,U
78757,0,0,I,0,U,0,0,U,C,U,U
78758,0,0,I,0,U,U,0,0,0,0,0
78759,0,0,I,0,0,0,0,0,0,0,0
78760,0,0,U,C,U,U,U,U,C,U,C
78761,0,0,C,U,U,0,U,0,0,0,0
78762,0,0,I,0,I,U,U,I,0,0,0
78763,0,0,C,0,0,0,0,0,0,0,0
78771,0,0,I,0,0,0,0,0,0,0,0
78773,0,0,I,U,0,0,0,0,0,0,0
78774,0,0,U,0,0,0,0,0,0,0,0
78775,0,0,I,0,0,0,0,0,0,0,0
78776,0,0,C,0,0,0,0,0,0,0,0
78777,0,0,C,0,0,0,0,0,0,0,0
78778,0,0,C,U,C,U,0,0,0,0,0
78779,0,0,I,U,U,U,I,I,0,0,0
78780,0,0,C,0,0,0,0,0,0,0,0
78781,0,0,I,U,U,0,U,0,0,0,0
78782,0,0,C,0,0,0,0,0,0,0,0
78784,0,0,0,0,0,0,U,0,0,0,0
78880,0,0,0,0,U,0,0,0,0,0,0
78882,0,0,0,0,0,0,0,0,U,C,C
79052,U,0,U,0,0,0,0,0,0,0,0
79093,0,0,0,0,0,0,U,0,0,0,0
79095,0,0,0,0,0,U,0,0,0,0,0
79101,0,0,C,0,C,0,U,U,0,0,0
79102,0,0,C,U,0,U,0,0,U,C,C
79138,0,0,0,0,U,U,U,C,0,0,0
79182,0,0,0,C,U,U,0,0,0,0,0
79183,0,0,0,I,0,0,0,0,0,0,0
79184,0,0,0,I,U,0,0,0,0,0,0
79185,0,0,0,C,C,0,0,0,0,0,0
79186,0,0,0,I,0,0,0,0,0,0,0
79187,0,0,0,C,U,0,U,U,0,C,0
79188,0,0,0,U,U,0,U,0,U,0,U
79189,0,0,0,I,0,U,U,I,0,0,0
79190,0,0,0,U,0,0,0,0,0,0,0
79191,0,0,0,C,0,0,0,0,0,0,0
79192,0,0,0,U,0,U,0,0,0,0,0
79193,0,0,0,C,U,U,U,C,0,0,0
79194,0,0,0,C,0,0,U,U,0,0,0
79195,0,0,0,C,0,0,0,0,0,0,0
79201,0,0,0,U,0,0,U,0,0,0,0
79202,0,0,0,I,0,0,0,0,0,0,0
79204,0,0,0,C,0,0,0,0,0,0,0
79205,0,0,0,C,U,0,U,U,0,0,C
79206,0,0,0,C,U,0,I,U,0,0,0
79208,0,0,0,C,0,0,0,0,C,C,C
79209,0,0,0,I,U,U,U,0,0,0,0
79210,0,0,0,C,0,0,U,0,0,0,0
79211,0,0,0,0,I,U,U,0,U,0,0
79212,0,0,0,I,0,0,0,0,0,0,0
79213,0,0,0,C,0,0,C,C,C,C,C
79214,0,0,0,I,0,0,0,0,0,0,0
79215,0,0,0,C,0,0,0,0,0,0,0
79216,0,0,0,C,0,0,0,0,0,0,0
79217,0,0,0,I,0,0,0,0,0,0,0
79218,0,0,0,C,0,0,0,0,0,0,U
79221,0,0,0,I,0,U,0,0,0,0,0
79222,0,0,0,I,U,0,U,0,0,0,0
79223,0,0,0,C,0,0,0,0,0,0,0
79224,0,0,0,I,0,0,0,0,0,0,0
79225,0,0,0,I,0,U,U,0,U,U,U
79226,0,0,0,C,C,U,0,I,U,U,U
79227,0,0,0,C,0,0,U,0,U,C,0
79228,0,0,0,I,0,0,0,0,0,0,0
79229,0,0,0,C,0,0,0,0,0,0,0
79230,0,0,0,C,0,U,0,0,0,0,0
79235,0,0,0,0,0,U,U,0,0,0,0
79239,0,0,0,0,0,U,U,C,U,0,U
79251,0,0,0,I,0,0,0,0,0,0,0
79252,0,0,0,I,U,U,U,C,U,0,0
79253,0,0,0,I,U,I,U,C,U,C,0
79272,0,0,0,0,0,0,0,U,0,0,0
79281,0,0,0,0,U,0,0,0,0,0,0
79282,0,0,0,0,U,0,0,0,0,0,0
79283,0,0,0,0,C,0,0,U,U,0,0
79284,0,0,0,0,U,U,U,U,0,0,0
79285,0,0,0,0,C,0,U,0,0,C,C
79286,0,0,0,0,C,0,0,0,0,0,0
79287,0,0,0,0,C,0,0,0,0,C,0
79288,0,0,0,0,C,C,0,0,0,0,0
79289,0,0,0,0,C,0,0,0,0,U,U
79290,0,0,0,0,C,0,0,0,0,0,0
79291,0,0,0,0,I,0,0,0,0,0,0
79292,0,0,0,0,U,0,0,0,0,0,0
79293,0,0,0,0,C,0,U,0,0,0,0
79295,0,0,0,0,C,0,0,0,0,0,0
