Sample_ID,Year,Band_ID,AgeClass,Sex,Mass,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L_GenBank,H_GenBank,P_GenBank
EMGO AK07 032,2007,78727,AHY,F,1726,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 033,2007,73744,AHY,F,1481,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 034,2007,78705,AHY,F,1703,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 035,2007,57619,AHY,F,1510,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 036,2007,78725,AHY,F,1664,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 037,2007,57228,AHY,F,1638,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 038,2007,26913,AHY,F,1700,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 039,2007,78480,AHY,F,1462,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 040,2007,78204,AHY,F,1645,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK07 041,2007,26048,AHY,F,1816,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 001,2008,78780,AHY,F,1545,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 002,2008,78775,AHY,F,1513,Nesting,1,0,1,0,0,0,0,0,0,MW960836,,
EMGO AK08 003,2008,26080,AHY,F,,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 004,2008,78772,AHY,F,1513,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 005,2008,78212,AHY,F,1677,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 006,2008,78779,AHY,F,1572,Nesting,1,0,1,0,0,0,0,0,0,"MW960837, MW960892",,
EMGO AK08 007,2008,78762,AHY,F,1471,Nesting,0,0,1,0,0,0,0,0,0,"MW960838, MW960893",,
EMGO AK08 008,2008,78778,AHY,F,1490,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 009,2008,78761,AHY,F,1823,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 010,2008,79102,AHY,F,1563,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 011,2008,78763,AHY,F,1486,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 012,2008,78773,AHY,F,1537,Nesting,1,0,1,0,0,0,0,0,0,"MW960839, MW960894",,
EMGO AK08 013,2008,26015,AHY,F,1884,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 014,2008,78719,AHY,F,1548,Nesting,0,0,1,0,0,0,0,0,0,MW960785,,
EMGO AK08 015,2008,78771,AHY,F,1670,Nesting,1,1,1,0,0,0,0,0,0,"MW960840, MW960895",,
EMGO AK08 016,2008,78715,AHY,F,1768,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 017,2008,78716,AHY,F,1614,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 018,2008,78782,AHY,F,1626,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 019,2008,57501,AHY,F,1514,Nesting,0,0,0,0,0,0,0,0,1,,,MW885269
EMGO AK08 020,2008,26086,AHY,F,1513,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 021,2008,57209,AHY,F,1768,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 022,2008,78704,AHY,F,1790,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 023,2008,78777,AHY,F,1498,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 024,2008,79101,AHY,F,1648,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 025,2008,78776,AHY,F,1491,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 026,2008,78751,AHY,F,1832,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 027,2008,78720,AHY,F,1544,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 028,2008,78715,AHY,F,1768,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 029,2008,78756,AHY,F,1755,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 030,2008,78757,AHY,F,1575,Nesting,0,1,1,0,0,0,0,0,0,MW960841,,
EMGO AK08 031,2008,78758,AHY,F,1846,Nesting,0,1,1,0,1,0,0,0,0,MW960842,MW885270,
EMGO AK08 032,2008,78759,AHY,F,1428,Nesting,1,0,0,0,0,0,0,0,0,mixed,,
EMGO AK08 033,2008,78781,AHY,F,1595,Nesting,1,1,0,0,0,0,0,0,0,MW960786,,
EMGO AK08 034,2008,78753,AHY,F,1760,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK08 035,2008,78754,AHY,F,1742,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 001,2009,79227,AHY,F,1559,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 002,2009,79218,AHY,F,1690,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 003,2009,79208,AHY,F,1807,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 004,2009,79203,AHY,F,1544,Nesting,1,1,1,0,0,0,0,0,0,MW960896,,
EMGO AK09 005,2009,79214,AHY,F,,Nesting,0,1,0,0,0,0,0,0,0,MW960843,,
EMGO AK09 006,2009,79209,AHY,F,1512,Nesting,1,1,1,0,0,0,0,0,0,MW960897,,
EMGO AK09 007,2009,79194,AHY,F,1795,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 008,2009,79226,AHY,F,1826,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 009,2009,79222,AHY,F,1627,Nesting,1,1,0,0,0,0,0,0,0,"MW960844, MW960845",,
EMGO AK09 010,2009,78225,AHY,F,1552,Nesting,1,1,0,0,0,0,0,0,0,mixed,,
EMGO AK09 011,2009,79217,AHY,F,1885,Nesting,1,0,0,0,0,0,0,0,0,mixed,,
EMGO AK09 012,2009,79195,AHY,F,1897,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 013,2009,79210,AHY,F,1657,Nesting,0,0,0,0,0,0,0,0,0,,,
