Sample_ID,Year,Band_ID,Species,AgeClass,Sex,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L1_GenBank,L2_GenBank,L3_GenBank,H1_GenBank,H2_GenBank,H3_GenBank,P1_GenBank,P2_GenBank,P3_GenBank
EMGO AK98 048,1998,57401,Emperor goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 049,1998,57885,Emperor goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 050,1998,57886,Emperor goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 051,1998,57900,Emperor goose,AHY,M,Brood Drives,1,1,1,0,0,0,0,0,0,MW574916,MW574919,MW574919,,,,,,
EMGO AK98 052,1998,57266,Emperor goose,HY,F,Brood Drives,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
EMGO AK98 053,1998,57267,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 054,1998,57274,Emperor goose,HY,F,Brood Drives,1,1,1,0,0,0,0,0,0,MW574917,MW574917,MW574917,,,,,,
EMGO AK98 055,1998,57275,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 056,1998,57276,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 057,1998,57337,Emperor goose,HY,F,Brood Drives,0,1,1,0,0,0,0,0,0,,MW574920,MW574920,,,,,,
EMGO AK98 058,1998,57338,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 059,1998,57341,Emperor goose,HY,F,Brood Drives,1,1,1,0,0,0,0,0,0,MW574917,MW574917,MW574917,,,,,,
EMGO AK98 060,1998,57342,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 061,1998,57343,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 062,1998,57277,Emperor goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 063,1998,57259,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 064,1998,57268,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 065,1998,57270,Emperor goose,HY,M,Brood Drives,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
EMGO AK98 066,1998,57272,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 067,1998,57877,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 068,1998,57878,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 069,1998,57884,Emperor goose,HY,M,Brood Drives,1,1,1,0,0,0,0,0,0,MW574917,MW574917,MW574917,,,,,,
EMGO AK98 070,1998,57889,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 071,1998,57895,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK98 072,1998,57899,Emperor goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 001,2014,04721,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 002,2014,04711,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 003,2014,04722,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 004,2014,04701,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 005,2014,04723,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 006,2014,04702,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 007,2014,04703,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 008,2014,04704,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 009,2014,04705,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 010,2014,04706,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 011,2014,04707,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 012,2014,04712,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 013,2014,04714,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 014,2014,04715,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 015,2014,04716,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 016,2014,04717,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 017,2014,04718,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 018,2014,04719,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 019,2014,04720,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 020,2014,04724,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 021,2014,04725,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 022,2014,04726,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 023,2014,04727,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 024,2014,04728,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 025,2014,04729,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 026,2014,04730,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 027,2014,04731,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 028,2014,04733,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 029,2014,04734,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 030,2014,04736,Cackling goose,HY,F,Brood Drives,0,0,1,0,0,0,0,0,0,,,MW574918,,,,,,
CACG AK14 031,2014,04735,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 032,2014,04737,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 033,2014,04739,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 034,2014,04738,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 035,2014,04740,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 036,2014,04741,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 037,2014,04742,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 038,2014,04743,Cackling goose,HY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 039,2014,04744,Cackling goose,HY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
